id,en,es
"CONTINUE CYCLE","CONTINUE CYCLE","CONTINUAR CICLO"
"NEW SIMULATION","NEW SIMULATION","NUEVA SIMULACIÓN"
"SETTINGS","SETTINGS","AJUSTES"
"EXIT CYCLE","EXIT CYCLE","SALIR DEL CICLO"
"CRT MODE","CRT MODE","MODO CRT"
"LANGUAGE","LANGUAGE","IDIOMA"
"BACK","BACK","VOLVER"
"PAUSED","PAUSED","PAUSA"
"RESUME","RESUME","REANUDAR"
"SAVE SIMULATION","SAVE SIMULATION","GUARDAR SIMULACIÓN"
"LOAD SIMULATION","LOAD SIMULATION","CARGAR SIMULACIÓN"
"DELETE SAVE","DELETE SAVE","BORRAR PARTIDA"
"EXIT TO TITLE","EXIT TO TITLE","SALIR AL TÍTULO"
"SHOW UNITS LABELS","SHOW UNITS LABELS","MOSTRAR ETIQUETAS DE UNIDADES"
"SHOW SPOTS LABELS","SHOW SPOTS LABELS","MOSTRAR ETIQUETAS DE PUNTOS"
"SHOW ENEMIES LABELS","SHOW ENEMIES LABELS","MOSTRAR ETIQUETAS DE ENEMIGOS"
"SHOW CORE LABEL","SHOW CORE LABEL","MOSTRAR ETIQUETA DEL NÚCLEO"
"CORE UPGRADES","CORE UPGRADES","MEJORAS DEL NÚCLEO"
"GENEZIS G1 UPGRADES","GENEZIS G1 UPGRADES","MEJORAS GENEZIS G1"
"EVOLVE CORE","EVOLVE CORE","EVOLUCIONAR NÚCLEO"
"FUSE GENEZIS (4 G1 -> 1 G2)","FUSE GENEZIS (4 G1 -> 1 G2)","FUSIONAR GENEZIS (4 G1 -> 1 G2)"
"UPGRADE PSINERGY","UPGRADE PSINERGY","MEJORAR PSINERGUÍA"
"SPAWN GENEZIS G0","SPAWN GENEZIS G0","GENERAR GENEZIS G0"
"UPGRADE G1 SPEED","UPGRADE G1 SPEED","MEJORAR VELOCIDAD G1"
"UPGRADE G1 EXTRACTION","UPGRADE G1 EXTRACTION","MEJORAR EXTRACCIÓN G1"
"UPGRADE G1 CAPACITY","UPGRADE G1 CAPACITY","MEJORAR CAPACIDAD G1"
"SPAWN GENEZIS G1","SPAWN GENEZIS G1","GENERAR GENEZIS G1"
"CLOSE","CLOSE","CERRAR"
"GENEZIS: %D G1, %D G2","GENEZIS: %d G1, %d G2","GENEZIS: %d G1, %d G2"
"GENEZIS G1: %D","GENEZIS G1: %d","GENEZIS G1: %d"
"SAVED: %S","SAVED: %s","GUARDADO: %s"
"YEAR: %D","YEAR: %d","AÑO: %d"
"WORLD: DIGITAL BIOME","WORLD: DIGITAL BIOME","MUNDO: BIOMA DIGITAL"
"MISSION NAME","MISSION NAME","NOMBRE DE LA MISIÓN"
"MISSION DESCRIPTION GOES HERE.","MISSION DESCRIPTION GOES HERE.","LA DESCRIPCIÓN DE LA MISIÓN VA AQUÍ."
"ENEMY DESCRIPTION GOES HERE.","ENEMY DESCRIPTION GOES HERE.","LA DESCRIPCIÓN DEL ENEMIGO VA AQUÍ."
"ACCEPT","ACCEPT","ACEPTAR"
"GENEZIS STATISTICS","GENEZIS STATISTICS","ESTADÍSTICAS GENEZIS"
"MISSIONS LOG","MISSIONS LOG","REGISTRO DE MISIONES"
"TEXT GOES HERE...","TEXT GOES HERE...","EL TEXTO VA AQUÍ..."
"YEAR: 0","YEAR: 0","AÑO: 0"
"WORLD: DIGITAL BIOME","WORLD: DIGITAL BIOME","MUNDO: BIOMA DIGITAL"
"???","???","???"
"[DONE] %S","[DONE] %s","[COMPLETADA] %s"
">>> %S",">>> %s",">>> %s"
"STATUS: %S","Status: %s","Estado: %s"
"SPEED: %.1F M/S","Speed: %.1f m/s","Velocidad: %.1f m/s"
"ROLE: PROTECTION / SECURITY","Role: Protection / Security","Rol: Protección / Seguridad"
"EXTRACTION: %D B/S (X%.1F BOOST!)","Extraction: %d B/s (x%.1f Boost!)","Extracción: %d B/s (¡x%.1f Impulso!)"
"EXTRACTION: %D B/S","Extraction: %d B/s","Extracción: %d B/s"
"PSINERGY: %S","Psinergy: %s","Psinerguía: %s"
"ACTIVE","Active","Activo"
"SCANNING...","Scanning...","Escaneando..."
"ROLE: PROTECTION / SECURITY","Role: Protection / Security","Rol: Protección / Seguridad"
"SHOW UNITS LABELS","SHOW UNITS LABELS","MOSTRAR ETIQUETAS DE UNIDADES"
"SHOW SPOTS LABELS","SHOW SPOTS LABELS","MOSTRAR ETIQUETAS DE PUNTOS"
"SHOW ENEMIES LABELS","SHOW ENEMIES LABELS","MOSTRAR ETIQUETAS DE ENEMIGOS"
"SHOW CORE LABEL","SHOW CORE LABEL","MOSTRAR ETIQUETA DEL NÚCLEO"
"SETTINGS","SETTINGS","AJUSTES"
"BACK","BACK","VOLVER"
"CLOSE","CLOSE","CERRAR"
"CURRENT MISSION","CURRENT MISSION","MISIÓN ACTUAL"
"VIEW ALL MISSIONS","VIEW ALL MISSIONS","VER TODAS LAS MISIONES"
"EXIT TO GODHEADS","EXIT TO GODHEADS","SALIR A LOS GODHEADS"
"CORE OPTIMIZATION","CORE OPTIMIZATION","OPTIMIZACIÓN DEL NÚCLEO"
"OPTIMIZE THE PROCESSOR CORE TO LEVEL 1. COMPLETION GRANTS A 500-BYTE DATA PACKET.","Optimize the Processor Core to Level 1. Completion grants a 500-byte data packet.","Optimiza el núcleo del procesador al nivel 1. Completarlo otorga un paquete de datos de 500 bytes."
"BIT-SCRUBBER\n\nA FAST, AGGRESSIVE VIRUS THAT SEEKS OUT GENEZIS G1 UNITS AND RESETS THEIR DATA LOAD UPON CONTACT. PROTECT YOUR GATHERERS!","Bit-Scrubber\n\nA fast, aggressive virus that seeks out Genezis G1 units and resets their data load upon contact. Protect your gatherers!","Limpia-Bits\n\nUn virus rápido y agresivo que busca unidades Genezis G1 y reinicia su carga de datos al contacto. ¡Protege a tus recolectores!"
"DEFRAGMENTER\n\nA SLOW-MOVING THREAT THAT TARGETS DATA SPOTS DIRECTLY, CONSUMING THE RESOURCES BEFORE YOU CAN COLLECT THEM. DISPERSE IT QUICKLY!","Defragmenter\n\nA slow-moving threat that targets Data Spots directly, consuming the resources before you can collect them. Disperse it quickly!","Desfragmentador\n\nUna amenaza de movimiento lento que apunta directamente a los Puntos de Datos, consumiendo los recursos antes de que puedas recolectarlos. ¡Dispérsalo rápidamente!"
"CORE OPTIMIZATION DESCRIPTION","Optimize the Processor Core to Level 1. Completion grants a 500-byte data packet.","Optimiza el núcleo del procesador al nivel 1. Completarlo otorga un paquete de datos de 500 bytes."
"SYS_STATUS: NOMINAL | V_LINK: ACTIVE","SYS_STATUS: NOMINAL | V_LINK: ACTIVE","ESTADO_SIS: NOMINAL | V_ENLACE: ACTIVO"
"LOC: 0X0000 | CORE_SYNC: OK","LOC: 0X0000 | CORE_SYNC: OK","LOC: 0X0000 | SINC_NÚCLEO: OK"
"NEXT SYNC: %02D:%02D","NEXT SYNC: %02d:%02d","PRÓXIMA SINC: %02d:%02d"
"GENEZIS COUNT: %D","GENEZIS COUNT: %d","CONTEO GENEZIS: %d"
"YEAR: %D (AEON ZERO)","YEAR: %d (AEON ZERO)","AÑO: %d (EÓN CERO)"
"CYCLE: %S","CYCLE: %s","CICLO: %s"
"SYNC: %02D:%02D","SYNC: %02d:%02d","SINC: %02d:%02d"
"SAVED: 0 B","SAVED: 0 B","GUARDADO: 0 B"
"UPGRADES","UPGRADES","MEJORAS"
"UPGRADE SPEED","UPGRADE SPEED","MEJORAR VELOCIDAD"
"UPGRADE EXTRACTION","UPGRADE EXTRACTION","MEJORAR EXTRACCIÓN"
"UPGRADE CAPACITY","UPGRADE CAPACITY","MEJORAR CAPACIDAD"
"HARDWARE","HARDWARE","HARDWARE"
"CPU LEVEL: %D","CPU Level: %d","Nivel de CPU: %d"
"COST: %D BYTES","Cost: %d Bytes","Coste: %d Bytes"
"OVERCLOCK","OVERCLOCK","OVERCLOCK"
"SIGNAL: ENCRYPTED [ESTABLISHED]","SIGNAL: ENCRYPTED [ESTABLISHED]","SEÑAL: ENCRIPTADA [ESTABLECIDA]"
"SOURCE: G1-UNIT_ALPHA","SOURCE: G1-UNIT_ALPHA","ORIGEN: UNIDAD-G1_ALPHA"
"DIRECT INTERFACE CHANNEL: THEOPHANIA","DIRECT INTERFACE CHANNEL: THEOPHANIA","CANAL DE INTERFAZ DIRECTA: THEOPHANIA"
"ESTABLISHING CONNECTION...","ESTABLISHING CONNECTION...","ESTABLECIENDO CONEXIÓN..."
"NEW THREAT DETECTED!","NEW THREAT DETECTED!","¡NUEVA AMENAZA DETECTADA!"
"SIMULATION_LOG_PROCESSOR_V1.0","SIMULATION_LOG_PROCESSOR_V1.0","PROCESADOR_REGISTRO_SIMULACIÓN_V1.0"
"SYSTEM READY","SYSTEM READY","SISTEMA LISTO"
"DATA_CACHE","DATA_CACHE","CACHÉ_DATOS"
"VAL: %S","VAL: %s","VAL: %s"
"VIRUS_DETECTED","VIRUS_DETECTED","VIRUS_DETECTADO"
"INTEGRITY: %D%%","INTEGRITY: %d%%","INTEGRIDAD: %d%%"
"INITIALIZING...","INITIALIZING...","INICIALIZANDO..."
"CORE AWAKENING","CORE AWAKENING","DESPERTAR DEL NÚCLEO"
"AWAKEN THE PROCESSOR CORE TO LEVEL 2 TO ESTABLISH A PERMANENT ANCHOR FOR OUR GROWING COLONY. GRANTS A SIGNIFICANT RESOURCE FRAGMENT.","Awaken the Processor Core to Level 2 to establish a permanent anchor for our growing colony. Grants a significant resource fragment.","Despierta el núcleo del procesador al nivel 2 para establecer un ancla permanente para nuestra creciente colonia. Otorga un fragmento de recurso significativo."
"TERRITORIAL GUARDIANS","TERRITORIAL GUARDIANS","GUARDIANES TERRITORIALES"
"OUR EXPANSION REQUIRES PROTECTION. FORGE 2 G2 GUARDIANS TO SHIELD THE CORE FROM HOSTILE ENTITIES. HIGH-VALUE DATA BURST INCLUDED.","Our expansion requires protection. Forge 2 G2 Guardians to shield the core from hostile entities. High-value data burst included.","Nuestra expansión requiere protección. Forja 2 Guardianes G2 para proteger el núcleo de entidades hostiles. Ráfaga de datos de alto valor incluida."
"THE GREAT HARVEST","THE GREAT HARVEST","LA GRAN COSECHA"
"GATHER 1 MB OF RAW RESOURCES TO FUEL OUR GROWTH AND STABILIZE OUR DOMAIN. GRANTS A MASSIVE DATA INJECTION.","Gather 1 MB of raw resources to fuel our growth and stabilize our domain. Grants a massive data injection.","Reúne 1 MB de recursos brutos para alimentar nuestro crecimiento y estabilizar nuestro dominio. Otorga una inyección masiva de datos."
"COLONY MOBILIZATION","COLONY MOBILIZATION","MOVILIZACIÓN DE LA COLONIA"
